prompt,prompt_len,target
Costanzo I Sforza,17,36.0
Thomas May,10,55.0
Nicolas Béhuchet,16,90.0
Jean du Bellay,14,68.0
Yelv Dilie,10,55.0
Beatrice of Sicily,18,39.0
"William, Duke of Brunswick-Grubenhagen",38,62.0
"Barnim XI, Duke of Pomerania",28,72.0
Paolo Giordano I Orsini,23,44.0
Bartolomeo Cavarozzi,20,38.0
"Rudolph, Prince of Anhalt-Zerbst",32,45.0
Kitty Fisher,12,26.0
"William I, Count of Burgundy",28,67.0
André Hubert,12,65.0
"Lorenzo Suárez de Mendoza, 5th Count of Coruña",46,65.0
"Charles II, Duke of Bourbon",27,54.0
Muhammad II of Khwarezm,23,51.0
Matteo da Campione,18,61.0
Dedo I of Wettin,16,59.0
Willem Blaeu,12,67.0
Federico Colonna,16,40.0
Walter of Pontoise,18,69.0
"Virginio Orsini, Duke of Bracciano",34,43.0
Vicente Espinel,15,74.0
"John of Foix, Viscount of Narbonne",34,50.0
"Henry IV, Duke of Brabant",25,21.0
Giovanni Battista Gaulli,24,70.0
Karl von Mansfeld,17,52.0
Bérenger Fredoli,16,73.0
Renzo di Ceri,13,61.0
Jean-Louis Raduit de Souches,28,74.0
Ladislaus of Salzburg,21,33.0
Alfonso Téllez I de Meneses,27,69.0
Areus I,7,85.0
Thomas Street,13,68.0
André Maugars,13,60.0
Julia Iotapa,12,60.0
"Magnus Erlendsson, Earl of Orkney",33,42.0
Jöns Gerekesson,15,55.0
Jón Ögmundsson,14,69.0
André Raison,12,79.0
Richard Savage,14,46.0
"Baldwin de Redvers, 1st Earl of Devon",37,55.0
Isaac van Hoornbeek,19,72.0
Margaret Clap,13,26.0
Pierre Magnol,13,77.0
César-Egasse du Boulay,22,68.0
Wentworth Smith,15,52.0
Takayuki Kōda,13,33.0
"Ulrich I, Count of East Frisia",30,58.0
André Thévet,12,74.0
Bernard Silvestris,18,75.0
Margaret Tudor,14,52.0
John Partridge,14,71.0
Sophie Eleonore von Braunschweig-Wolfenbüttel-Bevern,52,37.0
Armand de Périgord,18,69.0
Guillaume de Chartres,21,41.0
Pedro de Montaigu,17,32.0
Luca Pitti,10,74.0
Ana Francisca Abarca de Bolea,29,94.0
Isaac Alfasi,12,90.0
Johann Georg Ahle,17,55.0
Anton van den Wyngaerde,23,46.0
André de Chauvigny,18,52.0
André de Gouveia,16,51.0
André de Foix,13,57.0
André de Rivaudeau,18,40.0
Geoffrey of Paris,17,20.0
André de Toulongeon,19,42.0
André d’Ypres,13,50.0
Richard Hawkins,15,60.0
Syrus of Pavia,14,99.0
Jacob Svetoslav,15,69.0
Albertus Seba,13,71.0
"John I, Duke of Bavaria",23,11.0
"Bernard II, Margrave of Baden-Baden",35,30.0
Julius Pomponius Laetus,23,70.0
Girolamo Zoppio,15,75.0
Gentile da Foligno,18,68.0
Peter Artedi,12,30.0
Johann Philipp Krieger,22,76.0
Hedwig of Münsterberg-Oels,26,23.0
"John, Margrave of Brandenburg-Kulmbach",38,58.0
Christoph Bernhard,18,64.0
Saint Theophilus of Corte,25,64.0
"George William, Margrave of Brandenburg-Bayreuth",48,48.0
Bernard Palissy,15,79.0
"Andrés Hurtado de Mendoza, 3rd Marquis of Cañete",48,51.0
Pierre Guédron,14,50.0
Andrés Laguna,13,60.0
George Martinuzzi,17,69.0
Andries Pels,12,76.0
Anna Maria of Brandenburg-Ansbach,33,63.0
Vincenzo Tamagni,16,38.0
"Charles of Lorraine, duke of Mayenne",36,57.0
Margravine Sophie Christine of Brandenburg-Bayreuth,51,29.0
"John II Comyn, Lord of Badenoch",31,52.0
Margaret Fell,13,88.0
Andrés de Claramonte,20,46.0
William Corbett,15,68.0
Oliva of Brescia,16,38.0
"Baltasar de Zúñiga, 1st Duke of Arión",37,69.0
Girolamo del Pacchia,20,56.0
"Hedwig of Brandenburg, Duchess of Brunswick-Wolfenbüttel",56,62.0
Orazio di Giampaolo Baglioni,28,32.0
Margaret of Brandenburg,23,66.0
Sophie of Brandenburg-Ansbach,29,52.0
Girolamo De Angelis,19,56.0
"Maria of Saxony, Duchess of Pomerania",37,68.0
Cornelis Floris II,18,61.0
Gillis van Coninxloo,20,63.0
"Yolande of Aragon, Duchess of Calabria",38,29.0
"Francis I, Duke of Lorraine",27,28.0
Jorge Inglés,12,80.0
"Humphrey de Bohun, 3rd Earl of Hereford",39,49.0
Hendrick de Keyser,18,56.0
Pontus De la Gardie,19,65.0
Ptolemy of Mauretania,21,49.0
Sophie of Brandenburg-Ansbach-Kulmbach,38,52.0
"Fulk I, Count of Anjou",22,72.0
Eleonore Charlotte of Württemberg-Montbéliard,45,87.0
Konrad VII the White,20,56.0
Charles,7,37.0
Caterina Martinelli,19,19.0
Pierre Victor Palma Cayet,25,85.0
Ginevra Cantofoli,17,54.0
Honoratus,9,65.0
Aymard of Cluny,15,55.0
Jean-Jacques de Mesmes,22,48.0
Margareta Brahe,15,66.0
Nicolas Cotoner,15,72.0
Marie of Brienne,16,51.0
"Dorothea, Abbess of Quedlinburg",31,26.0
Matthias Weckmann,17,55.0
Giovanni Fontana,16,60.0
Margaretha von der Mark,23,72.0
"Geoffrey II, Count of Anjou",27,54.0
Joanna of Rožmitál,18,45.0
Guillaume Dumanoir,18,82.0
Secundus of Non,15,12.0
Anna of Brandenburg-Ansbach-Kulmbach,36,52.0
Joyce Culpeper,14,51.0
Juliana of Hesse-Eschwege,25,41.0
William Warner,14,51.0
Kunigunde of Eisenberg,22,41.0
Flaminio Vacca,14,67.0
Tino di Camaino,15,52.0
"Margaret of Saxony, Duchess of Brunswick-Lüneburg",49,59.0
François Savary de Brèves,25,68.0
Catharina Hooft,15,73.0
Alexander Adriaenssen,21,74.0
Alice of Courtenay,18,58.0
William V of Angoulême,22,20.0
Margareta of Celje,18,69.0
William II of Angoulême,23,28.0
Anna Maria of Anhalt,20,44.0
"Anne Finch, Countess of Winchilsea",34,59.0
Pedro Jaime Esteve,18,56.0
"Anna Maria von Eggenberg, née Brandenburg-Bayreuth",50,71.0
"Infante Henry, Duke of Villena",30,45.0
"William I, Marquis of Namur",27,67.0
Boris Kalamanos,15,41.0
Pedro Mascarenhas,17,71.0
Jan van Huysum,14,67.0
Lambert Doomer,14,76.0
"Conan II, Duke of Brittany",26,36.0
Edward Lovett Pearce,20,34.0
Giovanni Donato da Montorfano,29,70.0
Fulk of Angoulême,17,57.0
Geoffrey of Angoulême,21,48.0
Archibald Douglas,17,36.0
Ralph Cudworth,14,71.0
Owain Cyfeiliog,15,67.0
James II of Majorca,19,68.0
Johann Ludwig Bach,18,54.0
Jean Cavalier,13,59.0
Abu ʿAbd Allāh Muḥammad ibn Saʿd ibn Mardanīš,45,48.0
Amalie of Nassau-Dietz,22,40.0
Giuseppe Maria Crespi,21,82.0
Jimeno Garcés of Pamplona,25,49.0
"Robert, Count of Burgundy",25,15.0
"Henry VI, Count of Waldeck",26,57.0
Henry More,10,73.0
Guillaume Arrufat,17,11.0
Maria of Nassau,15,46.0
"Moritz Wilhelm, Duke of Saxe-Zeitz",34,54.0
Jacopo Zucchi,13,54.0
Francisco Fajardo,17,40.0
Lope de Aguirre,15,43.0
Frederik Ruysch,15,93.0
Silvio Savelli,14,49.0
Benoîte Rencurel,16,71.0
Fulbert of Chartres,19,68.0
"Anne Hamilton, 3rd Duchess of Hamilton",38,85.0
Jean de Lauson,14,83.0
"Elizabeth Seymour, Duchess of Somerset",38,55.0
"Christian, Duke of Brunswick-Lüneburg",37,67.0
Lala Kara Mustafa Pasha,23,80.0
Mirian III of Iberia,20,96.0
"Joanna, Duchess of Durazzo",26,43.0
Leonardo Rossi,14,57.0
"Odo III, Duke of Burgundy",25,52.0
Eric Anundsson,14,33.0
Bonagiunta Orbicciani,21,70.0
"Philip of Valois, Duke of Orléans",33,39.0
Arsenius the Great,18,95.0
Matteo Gribaldi,15,64.0
John Tzetzes,12,70.0
Eva Marshal,11,43.0
Franz Egon of Fürstenberg,25,56.0
"Hugh, Count of Champagne",24,52.0
"Hugh II, Duke of Burgundy",25,58.0
Antal Gabon,11,58.0
"Ludwig II, Count of Württemberg-Urach",37,18.0
Gregory of Sanok,16,71.0
Alonso de Estrada,17,60.0
Fernão Nunes,12,50.0
Jordan,6,18.0
Saadia Ibn Danan,16,92.0
"Robert VI, Count of Auvergne",28,14.0
Thomas Digges,13,49.0
Antonio Gherardi,16,64.0
Mancio Itō,10,42.0
Peter I of Courtenay,20,57.0
Giulio Vitelli,14,72.0
Veit Ludwig von Seckendorff,27,66.0
Bartholomäus Zeitblom,21,59.0
Gregory II of Constantinople,28,49.0
Catherine of Alençon,20,66.0
Pieter Pauw,11,53.0
"Conrad, Margrave of Meissen",27,59.0
Charlotte des Essarts,21,71.0
Gervase of Tilbury,18,79.0
Cipriano Barace,15,61.0
Hilary of Arles,15,48.0
Gaspar Gil Polo,15,54.0
Countess Magdalena of Waldeck,29,41.0
Hans Brosamer,13,59.0
Françoise de Cezelli,20,57.0
Bouchard II of Montmorency,26,45.0
Catherine Bernard,17,50.0
Minamoto no Yoshitomo,21,37.0
Athenodoros Cordylion,21,49.0
Margaret Erskine,16,59.0
Esther Imbert,13,23.0
Helius Eobanus Hessus,21,52.0
Christopher Báthory,19,51.0
Toribio de Berravente Motolinia de aliens,41,86.0
François-Louis de Pourroy de Lauberivière,41,29.0
Goschwin Nickel,15,80.0
Harald Maddadsson,17,72.0
John Boste,10,50.0
Roque Balduque,14,61.0
Sima Zhao,9,54.0
"Catherine Woodville, Duchess of Buckingham",42,39.0
Jean D'Espagnet,15,73.0
Muhammad al-Nafs al-Zakiyya,27,72.0
Joachim Beuckelaer,18,40.0
Henry II,8,41.0
Yves d'Alègre,13,80.0
George of Trebizond,19,77.0
"Catherine of Hanau, Countess of Wied",36,56.0
Hue de Rotelande,16,40.0
Nicolas Rigault,15,77.0
Sámuel Kálnoky,14,66.0
Joseph de la Vega,17,42.0
Hannah Woolley,14,53.0
Pieter van der Aa,17,74.0
Gerard de Lairesse,18,71.0
Matthäus Lang von Wellenburg,28,72.0
Friedrich Herlin,16,65.0
Filippa Duci,12,66.0
Anthony de Montserrat,21,64.0
Ogata Kenzan,12,80.0
Thomas Archer,13,75.0
Maria of Aragon,15,42.0
Jiří Melantrich of Aventino,27,69.0
Francesco Barberini,19,82.0
Paschal Baylon,14,52.0
Theodulf of Orléans,19,71.0
Rudolf von Colloredo,20,72.0
Georg Forster,13,58.0
Hermen Rode,11,74.0
Erzsébet Szilágyi,17,73.0
John Albert Vasa,16,22.0
François Annat,14,80.0
"Louis I, Landgrave of Thuringia",31,12.0
Magdalena of Valois,19,52.0
Giovanni Battista Abbatessa,27,50.0
Radu cel Frumos,15,36.0
"William, Archbishop of Mainz",28,39.0
"Henry Sydney, 1st Earl of Romney",32,63.0
William Segar,13,69.0
"Étienne de Veniard, Sieur de Bourgmont",38,55.0
Angelo Acciaioli II,19,59.0
Joseph Heintz the Elder,23,45.0
Nicole de Savigny,17,55.0
"Margaret of Scotland, Countess of Kent",38,66.0
"Joan Beaufort, Countess of Westmorland",38,61.0
Beatrix of Andechs-Merania,26,61.0
Giovanni Baronzio,17,61.0
Angelo Berardi,14,58.0
Jean Androuet du Cerceau,24,64.0
Lucia Albani Avogadro,21,34.0
Gottschalk,10,66.0
Albrecht Dürer the Elder,24,75.0
Angelo Giori,12,76.0
"Charles, Duke of Vendôme",24,48.0
Angelo Italia,13,72.0
"John of Lusignan, Regent of Armenia",35,37.0
"Odo II, Duke of Burgundy",24,44.0
"Hugh IV, Duke of Burgundy",25,59.0
Hans Backoffen,14,19.0
Anne of Burgundy,16,28.0
Ashikaga Yoshiharu,18,39.0
Richard Empson,14,60.0
Giuseppe Rusnati,16,63.0
"Ramon Berenguer I, Count of Barcelona",37,53.0
Carlo Contarini,15,76.0
Gabriele Rangone,16,76.0
Hendrik fan Deventer,20,73.0
Ludovica Torelli,16,69.0
"Louis I, Duke of Bourbon",24,62.0
Guo Xi,6,70.0
Kanō Eitoku,11,47.0
Carlo Bononi,12,63.0
John IV of Trebizond,20,57.0
"Welf II, Count of Swabia",24,30.0
Jacob van Campen,16,61.0
Samuel Parker,13,47.0
Anne-Marguerite Petit du Noyer,30,56.0
Willem Baudartius,17,75.0
Isaac Watts,11,74.0
Anne of Gloucester,18,55.0
Caspar de Robles,16,58.0
Tassilo II of Bavaria,21,19.0
Kunigunde of Altdorf,20,37.0
Sebastiano Ziani,16,76.0
Balthasar Gérard,16,27.0
Dong Qichang,12,81.0
Carlos Seixas,13,38.0
Klængur Þorsteinsson,20,74.0
Hedwig of Gudensberg,20,50.0
Margarete Weißkirchner,22,40.0
Håkan the Red,13,39.0
"Berthold I, Duke of Swabia",26,30.0
Husayn Bayqarah,15,68.0
Jörg Syrlin the Elder,21,66.0
Angelo da Clareno,17,90.0
Lancelotto Malocello,20,66.0
Angelus Rumpler,15,53.0
Angelo Paoli,12,78.0
Nicholas Carew,14,43.0
Angelus of Jerusalem,20,40.0
Franciabigio,12,41.0
Ban Biao,8,51.0
Alexios III of Trebizond,24,52.0
Christian Petzold,17,56.0
Violante of Vilaragut,21,52.0
Pieter Meulener,15,52.0
Caspar Bartholin the Younger,28,83.0
Juan Fernández de Heredia,25,86.0
Prospero Alpini,15,63.0
Matsunaga Teitoku,17,83.0
"Christian Ernst, Margrave of Brandenburg-Bayreuth",49,68.0
Balthasar Denner,16,64.0
Jan van Lannoy,14,83.0
William of Moerbeke,19,71.0
Maarten van Heemskerck,22,76.0
"Henry FitzRoy, 1st Duke of Grafton",34,27.0
Charles Estienne,16,60.0
Hans Wandal,11,51.0
Jaromar,7,27.0
Abraham Hondius,15,60.0
Robert Guérard,14,74.0
Giovanni Baleison,17,37.0
Giovanni Mocenigo,17,76.0
Tommaso dei Cavalieri,21,78.0
Pietro Maria Pieri,18,67.0
Carlo Maratta,13,88.0
Anna Louise Föhse,17,68.0
Allaert van Everdingen,22,54.0
Herman Saftleven,16,76.0
Gerard Soest,12,81.0
Daniel Papebroch,16,86.0
Marcin Bylica,13,60.0
Thomas Shelton,14,49.0
Ragnheiður Jónsdóttir,21,69.0
Johann Jacob Bach,17,40.0
Johan Palmstruch,16,60.0
Jonas Poole,11,46.0
Francesco Nasini,16,84.0
Tiberio Tinelli,15,52.0
Daniel Speer,12,71.0
William Lawes,13,43.0
Hugh of Cluny,13,85.0
Juan Bautista Cabanilles,24,68.0
Pippo Spano,11,57.0
Saint Benjamin the Deacon and Martyr,36,24.0
"Theobald I, Count of Blois",26,65.0
Nicolo Grimaldi,15,59.0
Daniele da Volterra,19,57.0
Nicolas Jarry,13,46.0
Henry of Marcy,14,52.0
Frederick of Hesse-Darmstadt,28,66.0
Marco da Gagliano,17,61.0
Paul of Aegina,14,65.0
Abraham Willaerts,17,66.0
Paul Brill,10,70.0
"Catherine of Lorraine, Margravine of Baden-Baden",48,32.0
Gregory of Rimini,17,58.0
Margaret Ball,13,69.0
Jan Karol Chodkiewicz,21,61.0
"Christian Albert, Margrave of Brandenburg-Ansbach",49,17.0
Nijō Yoshimoto,14,68.0
Nils Henriksson,15,68.0
Ashikaga Yoshihide,18,30.0
Kobori Enshū,12,68.0
Gáspár Heltai,13,64.0
Michele Steno,13,82.0
Alfonso Sanches,15,40.0
Michele Bonelli,15,57.0
François Nodot,14,60.0
Ernest of Bavaria,17,60.0
"Othon Henri del Caretto, Marquis of Savona",42,56.0
Nicolás Antonio,15,67.0
Johannes Gezelius the younger,29,71.0
Joachim Wtewael,15,72.0
John III,8,55.0
Li Deming,9,51.0
Sten Sture the Younger,22,27.0
Mahmud bin Küchük,17,66.0
Antonie Ruset,13,70.0
Salomon de Bray,15,67.0
Jan de Bray,11,70.0
Peder Jensen Lodehat,20,16.0
"Ulrich II, Count of East Frisia",31,43.0
"Leo I, King of Armenia",22,69.0
Stephen Gosson,14,70.0
Jan Asselijn,12,42.0
Antonio Pucci,13,60.0
Nils Bielke,11,72.0
Giovanni Battista Guarini,25,74.0
"George William, Duke of Liegnitz",32,15.0
Dorothea Sibylle of Brandenburg,31,35.0
Henry III the White,19,44.0
Cornelis Visscher,17,29.0
Boncompagno da Signa,20,80.0
Pierre de Castelnau,19,38.0
Jean-Baptiste van Loo,21,61.0
Gasparo da Salò,15,69.0
"William de Braose, 2nd Baron Braose",35,65.0
Sibylle Elisabeth of Württemberg,32,22.0
"William I, Landgrave of Lower Hesse",35,49.0
Margarete von Alertshausen,26,29.0
"John Casimir, Duke of Saxe-Coburg",33,69.0
Benjamin Hornigold,18,39.0
François l'Olonnais,19,37.0
Guillaume Dubois,16,67.0
François de Joyeuse,19,53.0
Marco I Sanudo,14,27.0
"Elisabeth of Brandenburg, Duchess of Brunswick-Calenberg-Göttingen",66,48.0
"Anne Neville, 16th Countess of Warwick",38,66.0
Daniel Krman,12,77.0
Gottfried Finger,16,70.0
Marina the Monk,15,35.0
"Henry VII, Duke of Bavaria",26,42.0
Étienne Tempier,15,69.0
Georg Johann Mattarnovi,23,42.0
Sergio Pola,11,74.0
"William, Margrave of Meissen",28,12.0
Honorius Augustodunensis,24,74.0
Reginald of Bar,15,17.0
Charles I de Croÿ,17,72.0
Herod II,8,60.0
Æthelwold of Winchester,23,84.0
Ursus of Solothurn,18,85.0
"William III, Duke of Aquitaine",30,53.0
Vincenzo Albrici,16,64.0
"Odo I, Count of Blois",21,46.0
Frans Floris I,14,51.0
"Francisco López de Zúñiga, 2nd Marquis of Baides",48,57.0
"John IV, Duke of Brittany",25,51.0
Pedro Osores de Ulloa,21,70.0
"John Beaufort, 1st Earl of Somerset",35,37.0
Sophie of Brandenburg,21,23.0
"Otto I, Count of Burgundy",25,30.0
"Odo I, Duke of Burgundy",23,45.0
Countess Johanna Magdalene of Hanau-Lichtenberg,47,55.0
"Charles, Cardinal de Bourbon",28,67.0
Erasmus Reinhold,16,42.0
Marietta Robusti,16,36.0
Carolus Sigonius,16,64.0
Denys Calvaert,14,79.0
Hugh III of Cyprus,18,49.0
Jan Janszoon,12,71.0
Luis Fernández de Córdoba y Arce,32,84.0
Cristóbal de la Cerda y Sotomayor,33,16.0
Christian Ritter,16,82.0
John Thurloe,12,52.0
"Wartislaw V, Duke of Pomerania",30,64.0
Caecilia Metella,16,40.0
Pietro di Francesco degli Orioli,32,38.0
Ranuccio I Farnese,18,53.0
Jean de Meun,12,65.0
William Drummond of Hawthornden,31,64.0
Guillaume de Lorris,19,38.0
Saint Marinus,13,91.0
Cornelia Lentula,16,38.0
Jan Commelin,12,63.0
Pietro Della Valle,18,66.0
Raimon de Miraval,17,60.0
"Peter II, Duke of Brittany",26,39.0
Saint Mungo,11,96.0
Anna Margaret of Hesse-Homburg,30,57.0
Florens Radewyns,16,50.0
Henry Vaughan,13,74.0
Johann Kaspar Kerll,19,66.0
John I,6,42.0
García Ordóñez,14,46.0
Ulryk Hozjusz,13,80.0
Juan de la Jaraquemada,22,52.0
Fernando Talaverano Gallegos,28,56.0
Eysteinn Ásgrímsson,19,50.0
Alonso de Ribera,16,57.0
Pere Miquel Carbonell,21,83.0
Alonso García de Ramón,22,58.0
Philippa Roet,13,41.0
Johann Jakob Walther,20,67.0
François Mauriceau,18,72.0
Francisco de los Cobos y Molina,31,70.0
Peter I of Cyprus,17,41.0
Henry II of Jerusalem,21,53.0
Aniello Falcone,15,58.0
Peter II of Cyprus,18,25.0
Anicetus,8,68.0
Charles the Child,17,19.0
Antonia of Lorraine,19,42.0
Iakovos I of Cyprus,19,64.0
Vasilios Lekapenos,18,60.0
Johan Lilliehöök,16,44.0
"Eric I, Duke of Schleswig",25,31.0
"Charles Gonzaga, Duke of Mantua and Montferrat",46,57.0
Katharina Henot,15,57.0
Edmund Campion,14,41.0
Giovanni Andrea Donducci,24,80.0
"Eberhard II, Duke of Württemberg",32,57.0
Giulio Benso,12,76.0
Philips van Almonde,19,67.0
Gaetano Giulio Zumbo,20,45.0
"Aymon, Count of Savoy",21,52.0
Constance of Babenberg,22,31.0
Patriarch Philaret of Moscow,28,80.0
François Pallu,14,58.0
Yaroslav of Tver,16,42.0
Pietro I Candiano,17,45.0
William Goffe,13,74.0
Yuri II of Vladimir,19,50.0
Gaspard I de Coligny,20,57.0
Niccolò Partenio Giannettasio,29,67.0
Johannes Meursius,17,60.0
"Eric, Duke of Södermanland",26,36.0
Jacques Moderne,15,60.0
"Bertrand, Count of Toulouse",27,47.0
Vasily of Kostroma,18,35.0
"Giovanni II Ventimiglia, 6th Marquis of Geraci",46,32.0
"Thomas I, Count of Savoy",24,55.0
"Herman VI, Margrave of Baden",28,25.0
Antonio Possevino,17,78.0
Jean-Baptiste Santerre,22,66.0
Yamamoto Tsunetomo,18,60.0
"Peter I, Count of Savoy",23,30.0
Sigmund Theophil Staden,23,48.0
Aristotile Fioravanti,21,71.0
"Philip I, Count of Savoy",24,78.0
Albert Girard,13,37.0
Lucrezia de' Medici,19,83.0
Pietro Casola,13,80.0
Daniel Hopfer,13,66.0
Antonio Farnese,15,52.0
François Leclerc du Tremblay,28,61.0
Quentin Metsys the Younger,26,46.0
Edmund Dudley,13,48.0
Taddeo I da Montefeltro,23,71.0
Alexios Komnenos,16,29.0
Nicholas Udall,14,51.0
Alberic of Trois-Fontaines,26,49.0
Thierry Ruinart,15,52.0
Felice Anerio,13,54.0
Duke Huan of Qin,16,73.0
Thomas van Erpe,15,40.0
Cesare Vecellio,15,80.0
Libert Froidmont,16,66.0
Francisco Antolínez,19,55.0
Antonio Guevara Noroña,22,64.0
Nicolas Gombert,15,65.0
Chen Deng,9,39.0
Sasaki Kojirō,13,29.0
Perkin Warbeck,14,25.0
Nicolas Cleynaerts,18,49.0
Charles Mellin,14,52.0
John the Cappadocian,20,58.0
"Charles Somerset, 1st Earl of Worcester",39,66.0
Isa Khan,8,70.0
"Gilbert, Duke of Burgundy",25,56.0
János Vitéz,11,64.0
Gerbrand van den Eeckhout,25,53.0
Cao Mao,7,19.0
Roger of Salerno,16,19.0
Welf I,6,66.0
Liu Zhang,9,19.0
Deng Ai,7,67.0
Govert Flinck,13,45.0
Cristóbal de Olid,17,37.0
Germain of Paris,16,80.0
"Herbert II, Count of Maine",26,15.0
Fulvio Astalli,14,66.0
"Thomas Fairfax, 3rd Lord Fairfax of Cameron",43,59.0
Maximus of Hispania,19,22.0
Davyd Rostislavich,18,57.0
Sviatoslav I of Vladimir,24,56.0
"Gustav Horn, Count of Pori",26,65.0
Johannes Magnus,15,56.0
"Frederick IV, Duke of Austria",29,57.0
Antonio Maria Abbatini,22,82.0
Hermann Billung,15,73.0
Michael I Apafi,15,58.0
Nicolaus of Luxemburg,21,36.0
"Ferdinand Albert II, Duke of Brunswick-Wolfenbüttel",51,55.0
Miyazaki Yasusada,17,74.0
"Valdemar III, Duke of Schleswig",31,19.0
Bartolomé Bermejo,17,60.0
Johann Weikhard von Valvasor,28,52.0
Jean-Henri d'Anglebert,22,62.0
"Meinrad II, Prince of Hohenzollern-Sigmaringen",46,42.0
Zhu Siben,9,64.0
"Odo I, Margrave of the Saxon Ostmark",36,63.0
"Maurice, Landgrave of Hesse-Kassel",34,60.0
Hugh the Black,14,61.0
Joseph ibn Abitur,17,75.0
Jerónimo de Aguilar,19,36.0
Ernst Rüdiger von Starhemberg,29,63.0
Joachim von Sandrart,20,82.0
"Louis de Luxembourg, Count of Saint-Pol",39,57.0
Girolamo Priuli,15,81.0
Jean Goujon,11,62.0
Domenico Fetti,14,34.0
Paul Scarron,12,50.0
"Frederick, Landgrave of Hesse-Eschwege",38,38.0
"Yolande of Dreux, Duchess of Burgundy",37,35.0
Thomas Corneille,16,84.0
Jacques Pelletier du Mans,25,66.0
Jean du Vergier de Hauranne,27,62.0
Bartolomeu Perestrello,22,57.0
Michel de l'Hôpital,19,68.0
Mehmed I Giray,14,58.0
Paulinus of Trier,17,58.0
Justinus van Nassau,19,72.0
Johann Heinrich Buttstett,25,61.0
Gunnar Úlfhéðinsson,19,50.0
"Louis II, Count of Loon",23,68.0
Charles de Brimeu,17,48.0
"Pierre Terrail, seigneur de Bayard",34,48.0
Ferdinand the Holy Prince,25,41.0
Georg Joseph Kamel,18,45.0
"Hermann II, Count Palatine of Lotharingia",41,36.0
Gilles Guérin,13,67.0
Blanche of Burgundy,19,60.0
"Jean de Ligne, Duke of Arenberg",31,43.0
Benedict Biscop,15,62.0
Balthasar Charles,17,17.0
"Godfrey III, Duke of Lower Lorraine",35,72.0
Licinianus,10,50.0
Antonio Bertali,15,64.0
"Frederick William, Duke of Mecklenburg-Schwerin",47,38.0
Daniel Schultz,14,68.0
Louis I,7,58.0
Hugh I of Cyprus,16,25.0
"Frederick II, Duke of Swabia",28,57.0
"Infante Peter, Duke of Coimbra",30,57.0
Nicholas Mystikos,17,73.0
Ali ibn Yusuf,13,60.0
Pierre Brully,13,27.0
John II Orsini,14,35.0
"Henry, Duke of Schleswig",24,33.0
Michał Sędziwój,15,70.0
"Soběslav II, Duke of Bohemia",28,52.0
"Vratislaus I, Duke of Bohemia",29,33.0
Duke De of Qin,14,34.0
Duke Kang of Qin,16,41.0
Duke Wen of Qin,15,34.0
René Duguay-Trouin,18,63.0
Rodrigo de Triana,17,57.0
Paul Aler,9,71.0
"Christian, Duke of Saxe-Weissenfels",35,54.0
Ned Ward,8,64.0
Benjamin Gerritsz Cuyp,22,40.0
George of Austria,17,53.0
"Henry, Count of Württemberg",27,71.0
"Julius Ernst, Duke of Brunswick-Dannenberg",42,65.0
Carl Nieroth,12,62.0
"Ernest I, Duke of Brunswick-Göttingen",37,62.0
Daniel Vosmaer,14,44.0
"Ernest I, Duke of Brunswick-Grubenhagen",39,64.0
"Henry II, Duke of Brunswick-Grubenhagen",39,62.0
Beatus of Liébana,17,68.0
Jean de la Trémoille,20,72.0
"Otto the Mild, Duke of Brunswick-Lüneburg",41,52.0
Giulio Cesare Vanini,20,34.0
"William I, Duke of Brunswick-Lüneburg",37,22.0
"Charles I, Duke of Münsterberg-Oels",35,60.0
Pedro Menéndez de Avilés,24,55.0
Pierre d'Aubusson,17,80.0
"Frederick, Duke of Mecklenburg-Grabow",37,50.0
Hans Muelich,12,57.0
Muhammad Shaybani,17,59.0
Claudine Françoise Mignot,25,87.0
Matthew of Kraków,17,55.0
Hashim ibn 'Abd Manaf,21,33.0
Henry VII of Brzeg,18,55.0
John III of Naples,18,18.0
Willem van Aelst,16,52.0
Jacob De la Gardie,18,69.0
Thomas Culpeper,15,27.0
Johannes Baazius the younger,28,55.0
Yang Xiong,10,71.0
"Francis I, Duke of Saxe-Lauenburg",33,71.0
Wolmar Anton von Schlippenbach,30,68.0
Robert Herrick,14,83.0
Klaus Fleming,13,62.0
Alexandre van der Capellen,26,56.0
"George III, Landgrave of Hesse-Itter",36,44.0
Ge Hong,7,80.0
Luís Fróis,10,65.0
Ladislaus Hunyadi,17,26.0
Duke Dao of Qin,15,73.0
Pierre Jurieu,13,76.0
Sébastien Bourdon,17,55.0
Matthias Gallas,15,63.0
Robert Catesby,14,32.0
"Henry II, Duke of Świdnica",26,33.0
"Joachim Ernest, Duke of Schleswig-Holstein-Sonderburg-Plön",58,76.0
Richard Crashaw,15,37.0
Thomas Weelkes,14,47.0
Bolko II of Ziębice,19,41.0
Sturla Þórðarson,16,70.0
Cort Adeler,11,53.0
"Louis Thomas, Count of Soissons",31,45.0
Juan Bautista Rico,18,57.0
Ippolito II d'Este,18,63.0
Jean Bolland,12,69.0
Francisco Serrão,16,21.0
Anna Bornemissza,16,68.0
"Francis I, Duke of Nevers",25,45.0
Herod of Chalcis,16,49.0
George II of Bulgaria,21,23.0
András Ajtai,12,43.0
Michel Le Tellier,17,82.0
Benedikt Kotruljević,20,53.0
Jacob Gerritsz. Cuyp,20,58.0
Germain Pilon,13,65.0
Alonso Mudarra,14,70.0
